Symbol,Description
AAB,Aberdeen International I
AAR.UN,Pure Industrial Real Est
AAV,Advantage Oil & Gas Ltd.
ABK.A,Allbanc Split Corp Class
ABK.PR.C,Allbanc Split Corp Pref
ABT,Absolute Software Corp.
ABX,Barrick Gold Corporation
AC,Air Canada
ACD,Accord Financial
ACO.X,Atco Ltd. Cl.I Nv
ACO.Y,Atco Ltd Cl II
ACQ,Autocanada Inc
ACR.UN,Agellan Commercial REIT
ACZ.UN,American Core Sectors Di
AD,Alaris Royalty Corp.
ADC.UN,Canadian Advantaged Conv
ADN,Acadian Timber Corp
ADV,Alderon Iron Ore Corp
ADW.A,Andrew Peller Limited C
ADW.B,Andrew Peller Limited C
AEF.A,Acasta Enterprises Inc C
AEF.WT,Acasta Enterprises Inc W
AEM,Agnico Eagle Mines Limit
AEU.UN,Activenergy Income Fund
AEZ,Aeterna Zentaris Inc.
AF,Alarmforce J
AFN,Ag Growth International
AFN.DB.A,Ag Growth Intl Inc 5.25
AFN.DB.B,Ag Growth International
AFN.DB.C,Ag Growth Intl Inc 5.00 Pct Debs
AGF.B,Agf Management Ltd. Cl.
AGI,Alamos Gold Inc.
AGI.WT,Alamos Gold Inc Warrants
AGI.WT.A,Alamos Gold Inc Warrants A
AGT,Agt Food and Ingredients
AGU,Agrium Inc
AHF,Aston Hill Financial Inc
AHF.DB.A,0Nbaston Hill Financial Inc 6.5 Pct Debs
AHY.UN,Advantaged CDN High Yiel
AI,Atrium Mortgage Investme
AI.DB,Atrium Mortgage Inv Corp
AI.DB.A,Atrium Mortgage Inv Corp
AI.DB.B,Atrium Mortgage Inv Corp
AIF,Altus Group Limited
AIM,Aimia Inc
AIM.PR.A,Aimia Inc Pref Series 1
AIM.PR.B,Aimia Inc Pref Series 2
AIM.PR.C,Aimia Inc Pref Series 3
AJX,Agjunction Inc
AKG,Asanko Gold Inc
AKT.A,Akita Drilling Ltd. Cl.
AKT.B,Akita Cl B
ALA,Altagas Ltd.
ALA.PR.A,Altagas Ltd. Pref A
ALA.PR.B,Altagas Ltd Pref Series B
ALA.PR.E,Altagas Ltd Pref Series
ALA.PR.G,Altagas Ltd Pref G
ALA.PR.I,Altagas Ltd Pref Series I
ALA.PR.U,Altagas Ltd Pref Series
ALB,Allbanc Split Banc Corp
ALB.PR.C,Allbanc Split Corp II Pref Ser 2
ALC,Algoma Central
ALC.DB,Algoma Central Corp 6 PC
ALS,Altius Minerals Corporat
AMI,Aurico Metals Inc
AMM,Almaden Minerals Ltd.
AND,Anderson Energy Inc
ANX,Anaconda Mining Inc.
AOG.UN,Aston Hill Adv Oil and G
AOI,Africa Oil Corp
AP.UN,Allied Properties Real E
APR.UN,Automotive Properties Re
APS,Aptose Biosciences Inc
APY,Anglo Pacific Group Plc
AQA,Aquila Resources Inc.
AQN,Algonquin Power and Util
AQN.IR,Algonquin Power Util 5 Pct Debs Ins Rcpt
AQN.PR.A,Algonquin Power and Util
AQN.PR.D,Algonquin Power and Util
AQX.A,Alignvest Acquisition Co
AQX.WT,Alignvest Acquisition Co
AR,Argonaut Gold Inc.
