Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,49.669998,49.700001,49.020000,49.435001,43.472687,3221200
2014-01-03,49.450001,49.610001,49.325001,49.424999,43.463886,2152600
2014-01-06,49.610001,49.619999,48.849998,48.994999,43.085743,3970600
2014-01-07,49.105000,49.389999,48.955002,48.955002,43.050571,2615400
2014-01-08,49.090000,49.154999,48.735001,49.040001,43.125320,3485000
2014-01-09,49.174999,49.189999,48.724998,49.029999,43.116524,2502400
2014-01-10,49.099998,49.099998,48.770000,48.845001,42.953842,2720800
2014-01-13,48.900002,49.099998,48.810001,48.900002,43.002216,2576000
2014-01-14,49.049999,49.099998,48.639999,48.639999,42.773567,3289800
2014-01-15,48.840000,48.994999,48.720001,48.799999,42.914272,2739600
2014-01-16,48.830002,48.930000,48.584999,48.904999,43.006599,3258800
2014-01-17,48.880001,49.220001,48.785000,49.055000,43.138512,2795200
2014-01-20,49.174999,49.380001,49.075001,49.380001,43.424309,1574000
2014-01-21,49.500000,49.730000,49.415001,49.455002,43.490265,3851600
2014-01-22,49.650002,49.680000,49.320000,49.619999,43.635368,3704000
2014-01-23,49.500000,49.634998,49.314999,49.410000,43.450695,2744600
2014-01-24,49.305000,49.375000,48.830002,49.055000,43.138512,4542200
2014-01-27,49.000000,49.029999,48.270000,48.500000,42.650459,4550800
2014-01-28,48.575001,48.735001,48.349998,48.575001,42.716412,2574600
2014-01-29,48.400002,48.634998,47.990002,48.220001,42.404221,3915200
2014-01-30,48.435001,48.724998,48.275002,48.584999,42.725201,2734600
2014-01-31,48.049999,48.240002,47.810001,48.160000,42.351452,3615400
