Code,Name,High,Low,Close,Volume,Change,,
CBQ.A,Ishares BRIC ETF AC,24.85,24.85,24.85,530,-1.37,,5.23
CBR,Ishares Broad Commodity,20.12,20.1,20.12,2875,-0.04,,0.2
CBR.A,Claymore Broad Commodity ETF Adv Cl,19.47,19.47,19.47,1000,0.06,,0.31
CBU,First Asset Canbanc Cl.,35.41,35.4,35.4,505,-0.35,,0.98
CBU.PR.A,First Asset Canbanc Prf,11.6,11.6,11.6,600,0,,0
CCA,Cogeco Cable Inc. Sv,57.85,57.11,57.46,52627,-0.39,,0.67
CCI.UN,Canadian Convertibles Pl,7.34,7.31,7.34,390,-0.01,,0.14
CCL.A,Ccl Industries Inc 'A'Com Npv,118,113.1,115,434,1.3,,1.1
CCL.B,Ccl Industries Inc. Cl.,113.7,111.4,112.7,47926,1.4,,1.23
CCM,Canarc Res J,0.07,0.06,0.07,4639,0,,0
CCO,Cameco Corp,19.77,19.22,19.23,656729,-0.31,,1.59
CCS.PR.C,Co-Operators Gen Ins Cl,24.63,24.24,24.38,2100,0.34,,1.41
CCT,Catamaran Corporation,47.83,46.7,46.8,361631,-1.06,,2.21
CCV,Counterpath Corporation,1.07,1.07,1.07,1700,-0.01,,0.93
CCZ,Criticalcontrol Solution,0.45,0.44,0.45,19000,0.01,,2.27
CDD.UN,Core Canadian Dividend T,7.09,7.08,7.08,3922,-0.04,,0.56
CDG,Candente Gold Corp.,0.03,0.02,0.03,182000,0.01,,50
CDH,Corridor Resources Inc.,1.44,1.28,1.3,359939,-0.14,,9.72
CDI,Canelson Drilling Inc,6.14,6,6.03,62082,-0.11,,1.79
CDM.WT,Coeur Mining Inc Warrants,0.05,0.05,0.05,1420,-0.52,,91.23
CDU,Cardero Resource Corp.,0.06,0.05,0.06,54850,0.01,,20
CDV,Com Dev Intl,3.7,3.5,3.61,449593,-0.05,,1.37
CDZ,Ishares Sp TSX CDN Divid,26.26,26.08,26.08,59101,-0.05,,0.19
CDZ.A,Ishares Sp TSX CDN Divid,26.03,26.03,26.03,403,0.5,,1.96
CEE,Centamin Plc,1.06,1.03,1.03,50980,0.02,,1.98
CEF.A,Central Fund of Canada L,13.84,13.7,13.77,16611,0.09,,0.66
CEF.U,Central Fund of Canada L,12.4,12.25,12.4,800,0,,0
CET,Cathedral Energy Service,3.99,3.87,3.97,58239,0.07,,1.79
CEU,Canadian Energy Svcs and,8.75,8.51,8.54,474031,-0.15,,1.73
CEW,Ishares Equal Weight Ban,10.36,10.31,10.31,10260,0,,0
CEW.A,Ishares Equal Weight Ban,8.12,8.11,8.12,2648,-0.13,,1.58
CEZ,Calmena Energy Services,0.02,0.02,0.02,11500,0,,0
CF,Canaccord Genuity Group,11.3,11.04,11.27,153792,0.27,,2.45
CF.PR.A,Canaccord Genuity Group,20.8,20.64,20.65,2080,-0.1,,0.48
CF.PR.C,Canaccord Genuity Group,22.2,21.99,22.01,2705,-0.21,,0.95
CFB,Chieftain Metals Corp,0.17,0.17,0.17,10000,0,,0
CFF,Conifex Timber Inc,8.1,7.9,7.9,11350,-0.15,,1.86
CFN,Carfinco Financial Group,11.34,11.32,11.32,131479,0,,0
CFP,Canfor Corp,25.56,25.25,25.41,156234,0.01,,0.04
CFW,Calfrac Well Services Lt,16.55,16.07,16.2,423033,-0.24,,1.46
CFX,Canfor Pulp Products Inc,11.2,10.98,11.03,6298,-0.22,,1.96
CG,Centerra Gold Inc.,5.3,5.17,5.26,285737,0.04,,0.77
CGG,China Gold Int Resources,3.18,2.98,3.15,384910,0.19,,6.42
CGI,CDN General Inv,19.89,19.44,19.79,2973,0.21,,1.07
CGI.PR.C,Canadian General Inv. Lt,25.23,25.23,25.23,200,0,,0
CGI.PR.D,Canadian General Inv Ltd,25.27,25.11,25.27,750,-0.04,,0.16
CGJ,Carlisle Goldfields Limi,0.03,0.02,0.03,238000,0,,0
CGL,Ishares Gold Bullion ETF,10.73,10.63,10.71,48397,0.09,,0.85
CGL.C,Ishares Gold Bullion ETF,11.97,11.94,11.94,2671,-0.13,,1.08
CGO,Cogeco Inc. Sv,55.25,53.95,53.95,11016,-1.21,,2.19
CGR,Ishares Global Real Esta,22.72,21.97,22.65,11138,0.08,,0.35
CGR.A,Claymore Global Real Estate ETF Cl A,22.65,22.57,22.57,204,-0.28,,1.23
CGX,Cineplex Inc.,41.36,40.94,41.02,108488,-0.03,,0.07
CGX.DB.A,Cineplex Inc 4.50 Pct De,105.8,105.8,105.8,27000,0.1,,0.05
CHB,Ishares Adv US HY Bond I,20.87,20.79,20.82,13269,0.04,,0.19
CHB.A,Ishares Adv US HY Bond I,20.77,20.77,20.77,472,0.16,,0.78
CHE.DB,Chemtrade Logistics Inco,131.3,129,131.3,58000,1.3,,0.96
CHE.DB.A,Chemtrade Logistics If 5,111,111,111,100000,1,,0.89
CHE.DB.B,Chemtrade Logistics If 5,102.5,102.5,102.5,79000,0.3,,0.24
CHE.UN,Chemtrade Logistics Inco,20.63,20.23,20.35,74833,-0.04,,0.2
CHH,Centric Health Corporati,0.4,0.39,0.39,51000,-0.01,,2.5
CHH.NT,Centric Health Corp 6.75,55,55,55,4000,0,,0
CHI,Ishares China All Cap In,22.56,22.56,22.56,280,0.86,,3.96
CHI.A,Ishares China All Cap In,22.17,22.17,22.17,1131,-1.06,,4.56
CHL,Chaparral Gold Corp,0.51,0.5,0.51,23000,0.01,,2
CHP.UN,Choice Properties REIT,10.42,10.32,10.32,21206,-0.03,,0.29
CHR.A,Chorus Aviation Inc Cl A,4.38,4.18,4.3,13882,0.1,,2.38
CHR.B,Chorus Aviation Inc Cl B,4.36,4.25,4.28,166803,0.05,,1.18
CHW,Chesswood Group Limited,15.23,15.15,15.15,2540,-0.07,,0.46
CHW.DB,Chesswood Group Limited,103.5,103.5,103.5,14000,0,,0
CIA,Champion Iron Limited,0.2,0.19,0.19,6698,-0.01,,5
CIC,Canbanc Income Corp,11.1,11.07,11.07,6067,0.01,,0.09
CIE,Ishares Intl Fundamental,16.8,16.68,16.72,15291,-0.07,,0.42
CIE.A,Ishares Intl Fundamental,16.76,16.76,16.76,1155,-0.05,,0.3
CIF,Ishares Global Infrastru,24.06,24,24,1171,-0.06,,0.25
CIF.A,Ishares Global Infrastru,24.26,24.26,24.26,270,-0.37,,1.5
CIQ.UN,Canadian High Income Equ,12.35,12.24,12.31,7500,-0.05,,0.4
CIU.PR.A,Cu Inc. Preferred Share,22.56,22.55,22.55,234,-0.04,,0.18
CIU.PR.C,Cu Inc Preferred Series,20.83,20.82,20.82,600,-0.11,,0.53
CIX,Ci Financial Corp.,33.5,32.99,33.03,231093,-0.27,,0.81
CJ,Cardinal Energy Ltd,18.96,18.2,18.31,154266,-0.31,,1.66
CJP,Ishares Japan Fund Idx E,12.12,11.9,11.92,14054,-0.33,,2.69
CJP.A,Ishares Japan Fund Idx CAD Hedg,12.02,12.02,12.02,584,0.15,,1.26
CJR.B,Corus Entertainment Inc.,25.35,25.01,25.05,114950,-0.03,,0.12
CJT,Cargojet Inc.,21.78,21.35,21.78,3934,0.27,,1.26
CJT.A,Cargojet Inc. Variable Voting S,22.1,21.6,21.6,1000,-0.9,,4
CJT.DB.A,Cargojet Inc 6.5 Pct Deb,190,190,190,11000,7.2,,3.93
CJT.DB.B,Cargojet Inc 5.5 Pct Deb,103.5,103.3,103.5,25000,0,,0
CKE,Chinook Energy Inc.,2.18,2,2.05,315609,-0.09,,4.21
CKI,Clarke Inc,9.88,9.49,9.66,19372,-0.12,,1.23
CLF,Ishares 1-5 Yr Ladder Go,19.25,19.24,19.24,21717,0,,0
CLF.A,Ishares 1-5 Yr Ladder Go,19.16,19.16,19.16,1050,-0.01,,0.05
CLG,Ishares 1-10 Yr Ladder G,19.46,19.43,19.44,6861,0.01,,0.05
CLG.A,Ishares 1-10 Yr Ladder Govt Bon,19.35,19.35,19.35,231,0.1,,0.52
CLL,Connacher Oil,0.12,0.11,0.11,1152379,0,,0
CLO,Ishares Oil Sands Idx Et,13.41,13.29,13.29,3900,-0.11,,0.82
CLO.A,Ishares Oil Sands Idx Et,13.69,13.69,13.69,170,-0.05,,0.36
CLR,Clearwater Seafoods Inco,10.5,10.25,10.3,21558,-0.2,,1.9
CLS,Celestica Inc. Sv,11.4,11.25,11.3,234941,-0.01,,0.09
CLU,Ishares US Fundamental I,26.8,26.68,26.68,1324,-0.03,,0.11
CLU.A,Ishares US Fundamental I,26.56,26.56,26.56,400,0.35,,1.34
CLU.B,Ishares US Fundamental I,24.91,24.91,24.91,2000,0.12,,0.48
CLU.C,Ishares US Fundamental I,25.07,24.74,24.74,6510,-0.3,,1.2
CM,Canadian Imperial Bank O,101.3,100,100.3,681397,0.4,,0.36
CM.PR.D,CDN Imp Bank Ser 26,25,24.99,24.99,6261,0.01,,0.04
CM.PR.E,Cibc Pr.A Ser 27,25.15,25.12,25.12,3559,-0.03,,0.12
CM.PR.G,CDN Imp Bank of Com. Cl,25.25,25.13,25.15,6018,-0.15,,0.59
CM.PR.O,Cibc Pref Ser 39,25.3,25.2,25.2,5715,-0.08,,0.32
CMG,Computer Modelling Group,11.62,11.18,11.37,52332,0.06,,0.53
CMH,Carmanah Technologies Co,2.5,2.5,2.5,5700,-0.07,,2.72
CML,Canickel Mining Limited,0.35,0.35,0.35,5375,0.01,,2.94
CMR,Ishares Premium Money Ma,50.02,50.02,50.02,1313,0,,0
CMW,Ishares Sp TSX Global Mi,13.92,13.81,13.88,5633,0.08,,0.58
CMW.A,Ishares Sp TSX Global Mi,13.96,13.81,13.81,700,-0.14,,1
CMZ.UN,Compass Income Fund,13.76,13.75,13.75,550,0,,0
CNE,Canacol Energy Ltd,4.67,4.42,4.45,1396936,0.03,,0.68
CNE.DB,Canacol Energy Ltd 8 Ptc,100,100,100,50000,0,,0
CNL,Continental Gold Ltd,3.06,2.7,2.91,1055640,0.09,,3.19
CNQ,CDN Natural Res,41.82,41.27,41.36,2560783,-0.16,,0.39
CNR,Canadian National Railwa,79.72,77.69,77.72,1506226,-1.44,,1.82
CNU,Cnooc Limited,189,189,189,200,-13,,6.44
COM,Cardiome Pharma Corp,9.99,9.68,9.79,4700,-0.21,,2.1
COP,Coro Mining Corp.,0.05,0.05,0.05,3198,0,,0
COS,Canadian Oil Sands Limit,20.16,19.61,19.63,2359257,-0.38,,1.9
COW,Ishares Global Agri Inde,29.92,29.63,29.66,4503,-0.1,,0.34
COW.A,Ishares Global Agri Inde,28.78,28.78,28.78,140,-0.26,,0.9
COX.UN,Coxe Commodity Strategy,8.42,8.37,8.38,16200,0,,0
CP,Canadian Pacific Railway,246.6,237.9,238.9,358193,-2.8,,1.16
CPD,Ishares Sp TSX CDN Pref,16.3,16.26,16.3,40233,0.07,,0.43
CPD.A,Ishares Sp TSX CDN Pref,16.22,16.22,16.22,2700,0.01,,0.06
CPF.UN,CDN 50 Adv Pref Sh Fd,20.95,20.94,20.95,1280,-0.11,,0.52
CPG,Crescent Point Energy Co,40.27,39.12,39.17,1259018,-0.45,,1.14
CPI,Condor Petroleum Inc,0.25,0.17,0.25,302275,0,,0
CPN,Carpathian Gold Inc.,0.02,0.01,0.02,159957,0,,0
CPT,Coalspur Mines Limited,0.03,0.03,0.03,580122,0,,0
CPW.DB,Capstone Power Corp 6.75,104.2,104.2,104.2,7000,0.2,,0.18
CPX,Capital Power Corporatio,27.03,26.7,26.85,126541,0.12,,0.45
CPX.PR.A,Capital Power Corporatio,19.63,19.26,19.26,2600,-0.14,,0.72
CPX.PR.C,Capital Power Corp Pref,23.45,23.29,23.35,2300,-0.14,,0.6
CPX.PR.E,Capital Power Corporatio,23.4,23.12,23.12,4627,0.04,,0.17
CQE,Cequence Energy Ltd.,1.7,1.62,1.67,901059,-0.03,,1.76
CR,Crew Energy Inc,9.5,9.2,9.23,1065475,-0.29,,3.05
CRG,Corona Gold Corp,0.43,0.42,0.42,2000,-0.01,,2.33
CRH,CRH Medical Corporation,0.67,0.67,0.67,15000,0,,0
CRJ,Claude Res,0.2,0.19,0.2,162612,0,,0
CRK,Crocodile Gold Corp,0.18,0.17,0.18,424119,0.01,,5.88
CRK.WT,Crocodile Gold Corp Warr,0.02,0.02,0.02,90000,0.01,,100
CRP,Ceres Global Ag Corp.,6.8,6.75,6.78,5034,-0.02,,0.29
CRQ,Ishares Canadian Fundam,14.37,14.28,14.3,8243,0,,0
CRQ.A,Ishares CAD Fundamental,14.4,14.4,14.4,192,0,,0
CRR.DB.C,Crombie REIT 5.75 Debs,105.2,105.2,105.2,2000,0.7,,0.67
CRR.DB.D,Crombie REIT 5 Pct Debs,103.8,103.8,103.8,1000,0.3,,0.24
CRR.DB.E,Crombie REIT 5.25 Pct De,103,103,103,7000,0.5,,0.49
CRR.UN,Crombie Real Estate Inve,13,12.83,12.86,124415,-0.04,,0.31
CRT.UN,Ct Real Estate Investmen,11.3,11.2,11.2,12041,-0.01,,0.09
CS,Capstone Mining Corp.,2.25,2.12,2.16,829038,0.03,,1.41
CSB.UN,Canadian Banc Capital Se,25.61,25.61,25.61,1000,0.05,,0.2
CSD,Ishares Adv Short Durati,19.86,19.82,19.82,22475,0.01,,0.05
CSD.A,Ishares Adv Short Durati,19.85,19.81,19.81,1200,-0.04,,0.2
CSE,Capstone Infrastructure,4.24,4.13,4.14,121716,-0.07,,1.66
CSE.DB.A,Capstone Infrastructure,103.4,103.3,103.3,25000,-0.2,,0.15
CSE.PR.A,Capstone Infrastructure,20.2,19.85,20.2,1451,0.35,,1.76
CSH.DB.B,Chartwell Retirement Res,108.2,108.2,108.2,177000,-1.3,,1.21
CSH.UN,Chartwell Retirement Res,10.95,10.82,10.87,151341,-0.03,,0.28
CSS,Contrans Group Inc.,15,14.92,14.97,29947,-0.03,,0.2
CSU,Constellation Software I,291.1,284.7,286.2,68369,-0.8,,0.28
CSU.RT,Constellation Software I,0.58,0.55,0.56,27850,0,,0
CSW.A,Corby Spirit and Wine Lt,20.54,20.3,20.35,4666,-0.15,,0.73
CSW.B,Corby Spirit and Wine Lt,20.21,20.2,20.2,400,-0.04,,0.2
CSY,Can 60 Income Corp,8.07,7.89,7.89,11025,-0.08,,1
CTC,Canadian Tire Corporatio,189,185,189,544,7,,3.85
CTC.A,Canadian Tire Corporatio,117.6,115.8,116.2,170944,-0.2,,0.15
CTF.UN,Citadel Income Fund,3.58,3.56,3.58,1298,0,,0
CTU.A,Le Chateau Inc. Cl A.,1.43,1.4,1.43,11408,0.04,,2.88
CTY,Calian Technologies Ltd.,18.53,18.42,18.42,1294,-0.11,,0.59
CU,Canadian Utilities Ltd.,39.42,38.96,39.18,172455,0.05,,0.13
CU.PR.C,Canadian Utilities Limit,25.67,25.56,25.56,18451,-0.04,,0.16
CU.PR.D,Canadian Utilities Ltd P,24.14,24.07,24.14,700,-0.01,,0.04
CU.PR.E,Canadian Utilities Ltd P,24.22,24.19,24.21,1034,0.15,,0.62
CU.PR.F,Canadian Utilities Ltd P,22.32,22.32,22.32,121,0.16,,0.72
CU.PR.G,Canadian Utilities Ltd P,22.25,22.21,22.21,2353,0.02,,0.09
CU.X,CDN Util Cl B,38.75,38.75,38.75,100,-0.21,,0.54
CUD,Ishares Sp US Div Grower,30.6,30.4,30.49,8815,-0.01,,0.03
CUD.A,Ishares Sp US Div Grower,30.22,30.22,30.22,322,-0.2,,0.66
CUF.DB.D,Cominar REIT 6.50 Debs,103.6,103.6,103.6,22000,0.6,,0.58
CUF.DB.E,Cominar REIT 5.75 Debs S,104.1,104.1,104.1,8000,0.1,,0.1
CUF.UN,Cominar R E Un,18.93,18.83,18.88,143318,0.04,,0.21
CUM,Copper Mountain Mining C,2.26,2.18,2.23,220668,0.08,,3.72
CUP.U,Caribbean Util US,10.7,10.55,10.7,12548,0.2,,1.9
CUR,Diagnocure Inc J,0.15,0.15,0.15,29200,0.02,,15.38
CUS,Canexus Corporation,4.57,4.46,4.54,144898,0,,0
CUS.DB.A,Canexus Corp 5.75 Pct Se,101,100.8,101,69000,0,,0.01
CUS.DB.B,Canexus Corp 5.75 Pct Se,100,100,100,51000,0.05,,0.05
CUS.DB.C,Canexus Corp 6.00 Pct Co,93.25,93.25,93.25,83999,-0.09,,0.1
CUS.DB.D,Canexus Corp 6.5 Pct Deb,100,100,100,5000,0.01,,0.01
CUV,Curis Resources Ltd,0.85,0.82,0.85,4800,0.03,,3.66
CVD,Ishares Convertible Bond,19.64,19.46,19.61,5048,0.03,,0.15
CVD.A,Ishares Convertible Bond,19.46,19.45,19.45,4550,0,,0
CVE,Cenovus Energy Inc.,29.47,28.9,29.06,1852768,-0.29,,0.99
CVG,Clairvest Group,25.05,24.81,24.81,900,-0.18,,0.72
CVI.A,Calvalley Petroleum Inc.,1.32,1.31,1.31,14550,0,,0
CVL,Cervus Equipment Corpora,19.1,19.04,19.1,1634,0.1,,0.53
CVL.DB,Cervus Equipment Corp 6,103.7,103.7,103.7,41999,0,,0.04
CVT,Cvtech Group Inc.,0.93,0.86,0.93,13200,0.02,,2.2
CWB,CDN Western Bank,39.76,39.15,39.21,143507,-0.21,,0.53
CWB.PR.B,Canadian Western Bank Pr,25.9,25.8,25.8,1950,-0.1,,0.39
CWF,CDN World Fund,4.1,4.1,4.1,2000,-0.05,,1.2
CWI,Crosswinds Holdings Inc,4.52,4.51,4.51,1500,0.01,,0.22
CWL,Caldwell Partners Intern,1.38,1.37,1.37,2039,0.02,,1.48
CWO,Ishares Emg Mkts Fundame,31.14,31.14,31.14,382,0.68,,2.23
CWO.A,Ishares Emg Mkts Fundame,29.94,29.94,29.94,100,-1.08,,3.48
CWT.DB.B,Calloway REIT 5.75 Conv,106.6,106.5,106.5,35000,-0.1,,0.11
CWT.UN,Calloway Real Estate Inv,25.69,25.47,25.55,216881,-0.03,,0.12
CWW,Ishares Sp Global Water,23,22.99,22.99,785,0.01,,0.04
CWW.A,Claymore S&P Global Water ETF Advisor Cl,23.61,23.55,23.55,300,-1.56,,6.21
CWX,Canwel Building Material,5.78,5.71,5.76,10298,-0.01,,0.17
CWX.DB,Canwel Building Material,98,98,98,1000,-1,,1.01
CXA.B,Cons Hci Cl B,2.3,2.3,2.3,200,0.15,,6.98
CXF,First Asset CDN Convert,9.88,9.87,9.88,5030,0.09,,0.92
CXI,Currency Exchange Intern,15.62,15.6,15.61,9754,-0.39,,2.44
CXN,Chalice Gold Mines Limit,0.11,0.11,0.11,10000,0,,0
CXR,Concordia Healthcare Cor,42.35,38.5,39.36,269581,-0.32,,0.81
CXS,Counsel Corp,1.63,1.6,1.6,9700,-0.03,,1.84
CYB,Cymbria Corporation Cl A,24.01,23.8,23.8,5037,-0.2,,0.83
CYH,Ishares Global Monthly D,17.21,17.06,17.11,20466,-0.12,,0.7
CYH.A,Ishares Global Monthly D,16.95,16.93,16.93,216,-0.24,,1.4
CYT,Catalyst Paper Corporati,2.55,2.54,2.55,1100,0.08,,3.24
CZN,CDN Zinc Corp J,0.25,0.24,0.24,62800,0,,0
CZQ,Continental Precious Min,0.39,0.39,0.39,1400,-0.03,,7.14
D.DB.H,Dream Office REIT 5.50 P,103.8,103.5,103.5,29000,0,,0
D.UN,Dream Office REIT,27.8,27.57,27.58,222275,-0.17,,0.61
DA.A,Discovery Air Inc.,0.27,0.27,0.27,8370,0.01,,3.85
DA.DB.A,Discovery Air Inc 8.375,39.95,39.95,39.95,59000,0.95,,2.44
DBO,Dbox Technologies Inc,0.25,0.23,0.25,42525,0.03,,13.64
DC.A,Dundee Corp. Cl.A Sv,16.81,16.63,16.76,22151,0.12,,0.72
DC.DB,Dundee Corp. 5.85% Debs,101,101,101,7000,-0.1,,0.05
DC.PR.B,Dundee Corp First Pref S,24.63,24.55,24.6,4822,-0.02,,0.08
DC.PR.C,Dundee Corp Pref Series,17.92,17.83,17.83,1930,-0.07,,0.39
DC.PR.D,Dundee Corp Pref Series,25.26,25.2,25.2,4800,0.05,,0.2
DCD.UN,First Asset Diversified,15.32,15.31,15.31,1926,0,,0
DCF,Difference Capital Finan,1.31,1.3,1.3,5700,-0.03,,2.26
DCF.DB,Difference Cap Financial,81,80.5,80.5,63000,-0.5,,0.62
DCI,Directcash Payments Inc.,16.25,15.82,15.85,14975,-0.29,,1.8
DDC,Dominion Diamond Corpora,16.52,15.97,16.02,143879,-0.02,,0.12
DEE,Delphi Energy Corp.,3.24,3,3.04,649626,-0.2,,6.17
DEJ,Dejour Energy Inc,0.26,0.26,0.26,3100,-0.01,,3.7
DEN,Dundee Energy Limited,0.2,0.2,0.2,36100,-0.03,,13.04
DF,Dividend 15 Split Corp.,8.61,8.39,8.45,34563,0.13,,1.56
DF.PR.A,Dividend 15 Split Corp.,10.07,10.05,10.06,21500,0,,0
DFN,Dividend 15 Split Corp,11.89,11.78,11.85,27238,0.05,,0.42
DFN.PR.A,Dividend 15 Split Corp.,10.23,10.21,10.22,9998,0.01,,0.1
DG.UN,Global Div.Invest. Grade Income Trust,9.42,9.41,9.42,7700,-0.07,,0.74
DGC,Detour Gold Corporation,8.35,8,8.25,1116229,0.14,,1.73
DGI,Data Group Ltd,0.54,0.53,0.53,21500,-0.02,,3.64
DGI.DB.A,Data Group Ltd 6 Pct Deb,60,60,60,7000,0,,0
DGS,Dividend Growth Split Co,9.46,9.37,9.38,13660,0.02,,0.21
DGS.PR.A,Dividend Growth Split Co,10.16,10.14,10.16,31175,0.01,,0.1
DH,Dh Corporation,33.35,32.91,32.96,59014,-0.15,,0.45
DH.DB,Dh Corporation 6.00 Pct,123.7,123.7,123.7,8000,-0.6,,0.47
DHX,Dhx Media Ltd.,8.72,8.51,8.58,210634,-0.04,,0.46
DII.A,Dorel Industries Inc. C,34.03,34,34,325,-0.4,,1.16
DII.B,Dorel Industries Inc. C,34.1,33.29,33.59,16017,-0.09,,0.27
DIN.DB,Dir Industrial Propertie,105,105,105,7000,0,,0
DIR.DB,Dream Industrial REIT 5.,102.5,102.5,102.5,17000,0,,0
DIR.UN,Dream Industrial REIT,9.11,8.98,9.03,68091,-0.04,,0.44
DL,Danier Leather Inc. Sv,8.01,8.01,8.01,200,0.01,,0.13
DLR,Horizons US Dollar Curre,11.18,11.08,11.08,84448,-0.12,,1.07
DLR.U,Horizons US Dollar Curre,9.96,9.95,9.95,61421,-0.02,,0.2
DM,Duluth Metals Limited,0.24,0.22,0.22,70000,-0.02,,8.33
DM.U,Duluth Metals Limited US$,0.25,0.25,0.25,10000,-0.21,,45.65
DML,Denison Mines Corp.,1.23,1.2,1.21,316082,0,,0
DMM,Dynasty Metals,1.09,1.05,1.09,19659,0.04,,3.81
DMN.PR.A,Dominion Citrus Ltd,1.5,1.26,1.26,6100,-0.24,,16
DNA,Dalradian Resources Inc.,0.7,0.67,0.7,94100,0.02,,2.94
DNA.WT,Dalradian Resources Inc,0.05,0.05,0.05,24500,-0.03,,37.5
DNA.WT.A,Dalradian Resources Inc,0.08,0.08,0.08,5000,0,,0
DND,Cipher Pharmaceuticals I,11.62,11.25,11.54,43319,-0.13,,1.11
DNG,Dynacor Gold Mines Inc,1.72,1.68,1.72,15950,0.01,,0.58
DNT,Candente Copper Corp,0.16,0.15,0.15,99300,-0.01,,6.25
DOL,Dollarama Inc,97.38,96.1,96.1,88246,-0.79,,0.82
DOM.UN,Dominion Citrus Income F,0.3,0.24,0.28,39532,-0.05,,15.15
DOO,Brp Inc,24.39,24.22,24.35,27286,0.12,,0.5
DPM,Dundee Precious Metals I,4.6,4.24,4.52,303509,0.23,,5.36
DPM.WT.A,Dundee Precious Metals I,1.62,1.57,1.62,3500,-0.25,,13.37
DR,Medical Facilities Corp,16.93,16.62,16.85,31498,0,,0
DR.DB.A,Medical Facilities Corp,103.6,103.6,103.6,38000,0.4,,0.37
DRA.UN,Dream Hard Asset Alterna,7.33,7.28,7.31,111398,0.02,,0.27
DRG.DB,Dream Global REIT 5.5 PC,102.5,102.5,102.5,39000,0.5,,0.49
DRG.UN,Dream Global REIT,9.19,9.1,9.19,70586,0.1,,1.1
DRM,Dream Unlimited Corp,13.06,12.72,12.89,19375,0.05,,0.39
DRM.PR.A,Dream Unlimited Corp Pre,7.36,7.32,7.36,2529,0,,0
DRN,Delrand Resources Limite,0.7,0.7,0.7,832,-0.01,,1.41
DRT,Dirtt Environmental Solu,3.51,3.5,3.51,7252,0.01,,0.29
DRX,Adf Group Inc. Sv,2.16,2.07,2.07,12790,-0.13,,5.91
DS,Dividend Select 15 Corp.,10.19,10.13,10.19,2100,0.04,,0.39
DS.RT,Dividend Select 15 Corp,0.01,0.01,0.01,1400,0,,0
DSG,Descartes Sys,15.72,15.54,15.59,253335,0.05,,0.32
DSL.UN,Doubleline Income Soluti,9.42,9.41,9.41,4700,-0.04,,0.42
DTX,Deethree Exploration Ltd,8.46,7.94,8.01,1503190,-0.44,,5.21
DW,Datawind Inc,4.1,3.97,4,15448,0.11,,2.83
DWI,Dragonwave Inc.,1.36,1.27,1.29,60008,-0.03,,2.27
DWI.WT,Dragonwave Inc Wts,0.37,0.3,0.37,22000,-0.02,,5.13
DXM,F A Morningstar Cda Div,11.57,11.49,11.49,559,-0.03,,0.26
DXM.A,F A Morningstar Cda Div,11.48,11.48,11.48,212,0.07,,0.61
E,Enterprise Group Inc,0.76,0.73,0.73,569701,0,,0
E.WT,Enterprise Group Inc Wts,0.18,0.18,0.18,5000,0.01,,5.88
EBC.UN,Europe Blue Chip Div and,8.91,8.85,8.86,5849,-0.04,,0.45
EBF.UN,European Strategic Balan,8.3,8.26,8.26,7800,0.01,,0.12
EBT.UN,Euro Banc Capital Securi,9.2,9.2,9.2,500,0.19,,2.11
ECA,Encana Corp.,24.1,23.64,23.89,2038617,0.03,,0.13
ECF.UN,East Coast Invest Grade,10.59,10.52,10.52,1269,-0.07,,0.66
ECI,Enercare Inc.,13.95,13.83,13.9,113040,0.11,,0.8
ECI.DB,Enercare Inc. 6.25 Pct D,210,210,210,1000,10,,5.01
ECI.R,Enercare Inc Sub Receipt,14.02,13.91,13.94,7940,0.09,,0.65
ECO,Ecosynthetix Inc,1.6,1.55,1.58,15691,-0.03,,1.86
ECP,Ecopetrol S.A.,34.48,34.48,34.48,296,0,,0
EDR,Endeavour Silver Corp.,4.81,4.66,4.77,122976,0.08,,1.71
EDV,Endeavour Mining Corp,0.65,0.59,0.65,1595511,0.06,,10.17
EE,Exall Energy Corporation,0.13,0.12,0.12,10000,-0.01,,7.69
EE.DB,Exall Energy Corp 7.75 Pct Debs,45.04,45.04,45.04,20000,0.04,,0.09
EFH,Egi Financial Holdings I,12.75,12.56,12.56,2520,-0.13,,1.02
EFL,Electrovaya Inc.,0.86,0.82,0.82,4170,0,,0
EFN,Element Financial Corp,13.4,13.03,13.08,480831,-0.23,,1.73
EFN.DB,Element Financial Corp 5,109.5,108,108,67000,-1,,0.92
EFN.PR.A,Element Financial Corp P,26.08,25.9,26.08,1100,0.26,,1.01
EFN.PR.C,Element Financial Corp P,25.81,25.8,25.8,1675,-0.1,,0.39
EFN.PR.E,Element Financial Corp P,25.74,25.61,25.61,31970,-0.04,,0.16
EFR,Energy Fuels Inc.,7.24,7.02,7.16,5397,0.05,,0.7
EFR.DB,Energy Fuels Inc Debs,92.27,91,91,40000,-1.27,,1.38
EFX,Enerflex Ltd,18.6,18.27,18.29,54529,-0.17,,0.92
EGL.UN,Eagle Energy Trust,5.39,5.3,5.34,18791,-0.01,,0.19
EGZ,Energizer Resources Inc,0.21,0.18,0.21,526502,0.03,,16.67
EH,Easyhome Ltd.,24.34,23.63,23.75,31323,-0.27,,1.12
EIF,Exchange Income Corporat,17.99,16.64,17.24,110705,-0.32,,1.82
EIF.DB.A,Exchange Incm 7.5 DB,133,131,132,76000,-2,,1.49
EIF.DB.B,Exchange Income Corp 6.5,105,105,105,29000,0,,0
