Code,Name,High,Low,Close,Volume,Change,,
AQA,Aquila Resources Inc.,0.12,0.11,0.11,13500,-0.01,,8.33
AQN,Algonquin Power and Util,8.93,8.83,8.87,222914,0.08,,0.91
AQN.PR.A,Algonquin Power and Util,23.75,23.55,23.55,6869,-0.14,,0.59
AQN.PR.D,Algonquin Power and Util,26.3,25.35,25.35,1175,0.05,,0.2
AR,Argonaut Gold Inc.,3.75,3.56,3.73,495247,0.08,,2.19
ARE,Aecon Group Inc,15.15,14.93,15.06,221688,-0.03,,0.2
ARE.DB,Aecon Group Inc 7.0 Debs,99.97,99.97,99.97,8000,-0.06,,0.06
ARE.DB.A,Aecon Group Inc 6.25 Pct,104,103.5,103.5,38000,-0.6,,0.53
ARE.DB.B,Aecon Group Inc 5.50 Pct,108,107,107.5,73000,0,,0
ARF,Armtec Infrastructure In,0.5,0.43,0.44,112784,-0.05,,10.2
ARF.DB,Armtec Infrastructure In,29.5,29.5,29.5,5000,-0.5,,1.67
ARG,Amerigo Resources Ltd.,0.39,0.36,0.39,79750,0.02,,5.41
ARL,Africo Resources Ltd.,0.43,0.41,0.43,2000,0.02,,4.88
ARX,Arc Resources Ltd.,28.78,28.36,28.47,385985,0,,0
ASR,Alacer Gold Corp,2.11,2,2.11,493697,0.05,,2.43
ATA,Ats Automation,13.01,12.82,12.85,107294,-0.05,,0.39
ATD.A,Alimentation Couche-Tard,36.98,35.81,35.95,3075,-0.2,,0.55
ATD.B,Alimentation Couche-Tard,36.13,35.03,35.1,567252,-0.89,,2.47
ATH,Athabasca Oil Corp,5.39,5.12,5.23,3517312,0.11,,2.15
ATL,Atlatsa Resources Corpor,0.29,0.29,0.29,500,-0.01,,3.33
ATN,Atna Res J,0.1,0.09,0.09,148985,-0.01,,10
ATP,Atlantic Power Corp.,2.6,2.39,2.39,302021,-0.19,,7.36
ATP.DB,Atlantic Power Corp. 6.5,100.3,100.3,100.3,71000,0.2,,0.2
ATP.DB.A,Atlantic Power Corp. 6.2,87,86.9,87,58000,0.97,,1.13
ATP.DB.B,Atlantic Power Corp 5.60,83.1,83,83,27000,0.49,,0.59
ATP.DB.D,Atlantic Power Corp 6.00,74,74,74,40000,0,,0
ATP.DB.U,Atlantic Power Corp 5.75,74.76,74.18,74.76,68000,0.25,,0.34
AUE,Aureus Mining Inc,0.35,0.35,0.35,500,-0.01,,2.78
AUF.UN,Artemis US Capital Appre,11.89,11.88,11.89,300,0.13,,1.11
AUI.UN,Australian Banc Income F,10.9,10.74,10.8,2969,-0.1,,0.92
AUM,Golden Minerals Company,0.64,0.64,0.64,1910,0.01,,1.59
AUP,Aurinia Pharmaceuticals,3.8,3.58,3.67,1306,-0.13,,3.42
AUQ,Aurico Gold Inc,3.88,3.77,3.84,251415,-0.01,,0.26
AUZ.UN,Australian Banc Capital,9.8,9.63,9.7,4200,0.06,,0.62
AV.UN,Aston Hill Adv Vip Incom,11.33,11.23,11.23,4251,-0.04,,0.35
AVK,Avnel Gold Mining Ltd.,0.16,0.13,0.16,72500,0.01,,6.67
AVL,Avalon Rare Metals Inc.,0.34,0.31,0.32,111845,-0.02,,5.88
AVO,Avigilon Corporation,17.08,15.37,15.84,882396,-1.07,,6.33
AVP,Avcorp Industries Inc.,0.09,0.09,0.09,5000,0,,0
AW.UN,A&W Revenue Royalties In,24.9,24.73,24.85,10281,0.14,,0.57
AX.DB.F,Artis REIT 6.00 Conv Deb,106.5,106.4,106.5,314000,-0.1,,0.08
AX.DB.U,Artis REIT 5.75 Pct Debe,103.7,103.7,103.7,10000,-0.1,,0.05
AX.PR.A,Artis REIT Pref Series A,24.89,24.79,24.8,1300,0.29,,1.18
AX.PR.E,Artis REIT Pref Ser E,21.2,21.02,21.17,6420,0.15,,0.71
AX.PR.G,Artis REIT Pref Series G,21.5,21.42,21.5,3150,0.09,,0.42
AX.PR.U,Artis REIT Pref Series C,23.87,23.87,23.87,179,0.11,,0.46
AX.UN,Artis Real Estate Invest,15.36,15.21,15.25,107106,-0.04,,0.26
AXL,Anderson Energy Ltd.,0.3,0.28,0.28,371050,-0.01,,3.45
AXL.DB,Anderson Energy Ltd. 7.5,88,88,88,14000,-1,,1.12
AXL.DB.B,Anderson Energy Ltd 7.25,78.75,78.75,78.75,15000,-1.25,,1.56
AXR,Alexco Resource Corp.,0.72,0.65,0.69,213684,0.02,,2.99
AXX,Axia Netmedia J,2.62,2.6,2.6,43613,-0.02,,0.76
AXY,Alterra Power Corp,0.32,0.3,0.31,242479,0,,0
AYA,Amaya Gaming Group Inc,31.5,30.65,30.92,172182,0.09,,0.29
AYA.DB.A,Amaya Gaming Group Inc 7,101.9,101.9,101.9,78000,0,,0
AYA.WT,Amaya Gaming Group Inc W,28.5,28,28.5,300,1.5,,5.56
AYA.WT.A,Amaya Gaming Group Inc W,26,26,26,490,-1,,3.7
AZC,Augusta Resource Corpora,3.57,3.17,3.55,23764,0.17,,5.03
AZP.PR.A,Atlantic Power Pref Equi,13.7,13.25,13.7,10800,0.44,,3.32
AZP.PR.B,Atlantic Power Pref Equi,14.12,13.67,13.85,4900,-0.49,,3.42
BA,Bell Aliant Inc,31,30.75,30.85,139304,0.07,,0.23
BAA,Banro Corp.,0,0.14,0.14,873370,-0.02,,12.5
BAB.UN,Build America Investment,24,23.67,23.68,375,0.41,,1.76
BAD,Badger Daylighting Ltd.,27,26.67,26.88,64925,-0.27,,0.99
BAF.PR.A,Bell Aliant Preferred Eq,23,22.64,22.92,3434,-0.03,,0.13
BAF.PR.C,Bell Aliant Preferred Eq,26,26.13,26.19,200,0.07,,0.27
BAF.PR.E,Bell Aliant Preferred Eq,25,24.96,25,4600,0.01,,0.04
BAM.A,Brookfield Asset Managem,51,50.12,50.15,711909,-0.34,,0.67
BAM.PF.A,Brookfield Asset Mgmt In,25,25.27,25.27,1019,0.02,,0.08
BAM.PF.B,Brookfield Asset Mgmt In,25,24.87,24.95,5321,0.21,,0.85
BAM.PF.C,Brookfield Asset Mgmt In,22,21.48,21.5,30497,0.01,,0.05
BAM.PF.D,Brookfield Asset Mgmt In,22,21.63,21.87,4681,0.22,,1.02
BAM.PF.E,Brookfield Asset Mgmt Pr,24.7,24.5,24.56,2689,-0.14,,0.57
BAM.PF.F,Brookfield Asset Mgmt In,25,25.25,25.25,960,-0.01,,0.04
BAM.PR.B,Brookfield Asset Mgmt In,17.37,17.3,17.37,3431,0.01,,0.06
BAM.PR.C,Brookfield Asset Mgmt In,17,17.25,17.31,2937,-0.01,,0.06
BAM.PR.E,Brookfield Asset Mgmt In,24,24.04,24.04,179,-0.44,,1.8
BAM.PR.G,Brookfield Asset Mgmt In,23,22.75,22.75,200,-0.1,,0.44
BAM.PR.K,Brookfield Asset Mgmt In,17,17.3,17.33,1725,-0.11,,0.63
BAM.PR.M,Brookfield Asset Mgmt In,21.16,21.07,21.1,2775,0,,0
BAM.PR.N,Brookfield Asset Mgmt Pr,21,21.2,21.2,2189,0,,0
BAM.PR.P,Brookfield Asset Mgmt In,25,25,25,1720,0.01,,0.04
BAM.PR.R,Brookfield Asset Mgmt Pr,26,25.41,25.56,1560,0.07,,0.27
BAM.PR.T,Brookfield Asset Mgmt Pr,24.91,24.71,24.71,4002,-0.08,,0.32
BAM.PR.X,Brookfield Am Pref Ser 2,22,21.67,21.67,3614,-0.07,,0.32
BAM.PR.Z,Brookfield Asset Mgmt In,26,25.61,25.61,1466,-0.11,,0.43
BAN,Bannerman Resources Limi,0,0.06,0.06,7000,0,,0
BAR,Balmoral Resources Ltd,1,1.26,1.48,481825,0.1,,7.25
BB,Blackberry Limited,11,10.49,10.62,2135316,-0.05,,0.47
BBD.A,Bombardier Inc. Cl. A,4,3.69,3.71,72663,-0.06,,1.59
BBD.B,Bombardier Inc. Cl. B,4,3.59,3.59,3771851,-0.08,,2.18
BBD.PR.B,Bombardier 2 Pr,13,12.43,12.44,6668,0.01,,0.08
BBD.PR.C,Bombardier Inc. Preferre,22,21.8,21.95,7286,0.2,,0.92
BBD.PR.D,Bombardier Inc. Preferre,12,12.48,12.48,700,-0.31,,2.42
BBL.A,Brampton Brick Ltd. Cl.,6,5.84,5.85,275,0.1,,1.74
BBO,Big Bank Big Oil Split C,11,10.66,10.76,19593,-0.29,,2.62
BBO.PR.A,Big Bank Big Oil Split C,10,10.44,10.44,400,0.04,,0.38
BCB,Cott Corp,8,7.63,7.64,28319,-0.14,,1.8
BCE,BCE Inc.,49,48.25,48.28,1104287,0.01,,0.02
BCE.PR.A,BCE First Pr Shares Seri,21,21.39,21.39,3500,0.03,,0.14
BCE.PR.B,BCE Inc. First Pr Shares,23,22.46,22.46,1717,-0.05,,0.22
BCE.PR.C,BCE Inc Pr Shares Series,21.22,21.2,21.2,6726,-0.05,,0.24
BCE.PR.D,BCE Inc. Preferred Share,23,22.64,22.64,3027,-0.06,,0.26
BCE.PR.E,BCE 1St Pref Shares Seri,22,22.24,22.24,150,-0.21,,0.94
BCE.PR.F,BCE 1St Pref Shares Seri,22,21.62,21.65,4185,-0.04,,0.18
BCE.PR.G,BCE 1St Pref Shares Seri,22,22.36,22.36,650,0.14,,0.63
BCE.PR.H,BCE 1St Pref Shares Seri,22,22.25,22.26,1106,-0.04,,0.18
BCE.PR.I,BCE 1St Pref Shares Seri,22,22.15,22.15,4250,-0.09,,0.4
BCE.PR.J,BCE Inc Preferred Sh Ser,22,22.47,22.47,451,0,,0
BCE.PR.K,BCE Inc Pref Series AK,22,21.58,21.6,11267,0.04,,0.19
BCE.PR.M,BCE Inc Preferred Shares,23,22.7,22.77,2879,0,,0
BCE.PR.O,BCE Inc Preferred Shares,26,26,26,603,-0.2,,0.76
BCE.PR.Q,BCE Inc Preferred Shares,25,24.8,25,4800,0.17,,0.68
BCE.PR.R,BCE Inc Ser R,22,21.88,21.99,1225,-0.1,,0.45
BCE.PR.S,BCE Inc Ser S,22,22.3,22.3,179,0,,0
BCE.PR.T,BCE Inc. First Preferred,21,21.3,21.31,100300,-0.03,,0.14
BCE.PR.Y,BCE Inc Ser Y Pr,23,22.6,22.61,1800,-0.2,,0.88
BCE.PR.Z,BCE Inc Series Z,22,21.58,21.58,348,-0.57,,2.57
BCI,New Look Eyewear Inc,22,21.5,21.5,667,-0.01,,0.05
BDI,Black Diamond Group Ltd,24,23.53,23.56,142775,-0.48,,2
BDT,Bird Construction Inc.,14.38,14.2,14.25,39698,-0.02,,0.14
BEI.UN,Boardwalk Real Estate In,69.35,68.57,68.71,47487,-0.44,,0.64
BEK.B,Becker Milk Company Ltd.,17,16.95,16.95,1100,-0.55,,3.14
BEP.UN,Brookfield Renewable Ene,34,33.81,33.86,101265,0.01,,0.03
BEZ,Besra Gold Inc,0,0.01,0.01,1011087,-0.01,,50
BGI.UN,Brookfield Glbl Infras S,10,10.27,10.41,55173,0.01,,0.1
BHY.UN,Brookfield High Yld Stra,9,9.4,9.48,30100,0.13,,1.39
BI.UN,Bloom Inc and Growth CAD,9,8.7,8.7,579,-0.09,,1.02
BIG.D,Big 8 Split Inc Class D,12,12.43,12.43,400,-0.17,,1.35
BIG.PR.D,Big 8 Split Inc Pref Cla,11,10.63,10.63,5200,0.02,,0.19
BIN,Progressive Waste Soluti,29,28.68,28.72,92175,-0.28,,0.97
BIP.UN,Brookfield Infra Partner,42,41.75,41.75,128904,-0.01,,0.02
BIR,Birchcliff Energy Ltd.,10,9.77,9.85,629110,-0.13,,1.3
BIR.PR.A,Birchcliff Energy Ltd Pr,26,26.25,26.25,2200,-0.43,,1.61
BIR.PR.C,Birchcliff Energy Ltd Pr,26,25.51,25.51,980,-0.09,,0.35
BK,Canadian Banc Corp,13.63,13.51,13.51,6648,-0.05,,0.37
BK.PR.A,Canadian Banc Corp Pref,10,10.26,10.27,9200,0.01,,0.1
BK.RT,Canadian Banc Corp RTS,0,0.01,0.01,20000,0,,0
BKI,Black Iron Inc,0,0.09,0.09,61200,-0.01,,10
BKL,Powershares Sr Loan CAD,20,20.02,20.04,1621,0.04,,0.2
BKP,C.A. Bancorp Inc.,4,4.2,4.2,200,0.05,,1.2
BKX,Bnk Petroleum Inc.,1,0.74,0.74,505918,-0.01,,1.33
BLB.UN,Bloom Select Income Fund,10,10.05,10.05,4013,-0.12,,1.18
BLD,Ballard Power,3,3.37,3.44,97322,-0.04,,1.15
BLU,Bellus Health Inc.,1,1.38,1.38,7672,-0.02,,1.43
BLX,Boralex Inc.,13,13.02,13.06,5580,-0.07,,0.53
BLX.DB,Boralex Inc 6.75 Pct Deb,114,114,114.1,71000,-0.3,,0.27
BMO,Bank of Montreal,83,81.87,81.91,879609,-0.11,,0.13
BMO.PR.J,BMO Non-Cum Cl B Prf Sha,26,25.73,25.73,4975,-0.01,,0.04
BMO.PR.K,BMO Non-Cumulative Cl B,26,26.04,26.04,1585,-0.03,,0.12
BMO.PR.L,BMO Non-Cumulative Cl B,27,26.44,26.44,7009,0.03,,0.11
BMO.PR.M,BMO Cl B Pref Shares Se,25,25.46,25.46,1150,0.02,,0.08
BMO.PR.P,BMO Non-Cumulative Cl. B,26,25.5,25.53,3700,0.06,,0.24
BMO.PR.Q,Bank of Montreal B Pref,25,24.55,24.65,1493,0.05,,0.2
BMO.PR.R,BMO Cl B Pref Shares Ser,26,25.6,25.6,400,-0.04,,0.16
BMO.PR.S,BMO Cl B Pref Shares Ser,25.47,25.31,25.31,8308,-0.09,,0.35
BMO.PR.T,BMO Non Cum Cl B Prf Sha,25,25.28,25.28,20230,-0.06,,0.24
BMO.PR.W,BMO Cl B Pref Shares Ser,25,25.1,25.1,24964,0,,0
BNC,Bioniche Life J,0,0.22,0.22,406113,0,,0
BNE,Bonterra Energy Corp,56,53.86,54.27,73930,-1.13,,2.04
BNG,Bengal Energy Ltd.,0,0.4,0.42,7625,0.01,,2.44
BNK,Bankers Petroleum Ltd.,5,4.91,5.15,4239105,0.25,,5.1
BNP,Bonavista Energy Corpora,12,12.15,12.22,700313,-0.05,,0.41
BNS,Bank of Nova Scotia,69.27,68.34,68.41,1941172,-0.13,,0.19
BNS.PR.A,Bns Preferred Shares Ser,25.89,25.87,25.89,217,0.09,,0.35
BNS.PR.B,Bns Preferred Shares Ser,26,25.62,25.65,15194,0,,0
BNS.PR.C,Bns Preferred Series 23,26,25.7,25.74,2103,-0.1,,0.39
