Date,Open,High,Low,Close,Volume,Adj Close
2012-11-28,2.55,2.60,2.46,2.55,132500,2.55
2012-11-27,2.73,2.73,2.60,2.60,558700,2.60
2012-11-26,2.70,2.75,2.68,2.75,84800,2.75
2012-11-23,2.50,2.71,2.50,2.66,207600,2.66
2012-11-22,2.49,2.50,2.49,2.50,28100,2.50
2012-11-21,2.45,2.58,2.45,2.52,256200,2.52
2012-11-20,2.40,2.55,2.39,2.55,260700,2.55
2012-11-19,2.45,2.50,2.32,2.44,384900,2.44
2012-11-16,2.52,2.68,2.52,2.62,237600,2.62
2012-11-15,2.70,2.70,2.55,2.63,123100,2.63
2012-11-14,2.72,2.75,2.59,2.60,249900,2.60
2012-11-13,2.58,2.76,2.58,2.75,287300,2.75
2012-11-12,2.69,2.70,2.55,2.58,262100,2.58
2012-11-09,2.71,2.72,2.65,2.65,698300,2.65
2012-11-08,2.67,2.75,2.67,2.75,14500,2.75
2012-11-07,2.81,2.83,2.66,2.69,22600,2.69
2012-11-06,2.91,2.91,2.86,2.86,6800,2.86
2012-11-05,2.89,2.95,2.88,2.91,35000,2.91
2012-11-02,2.84,2.89,2.74,2.89,53700,2.89
2012-11-01,2.70,2.81,2.70,2.81,11600,2.81
2012-10-31,2.83,2.86,2.70,2.70,53300,2.70
2012-10-30,2.70,2.84,2.70,2.84,2200,2.84
2012-10-29,2.76,2.78,2.76,2.78,4400,2.78
2012-10-26,2.77,2.77,2.74,2.77,58700,2.77
2012-10-25,2.79,2.79,2.69,2.75,130700,2.75
2012-10-24,2.74,2.80,2.70,2.79,141000,2.79
2012-10-23,2.62,2.78,2.61,2.66,58800,2.66
2012-10-22,2.70,2.77,2.64,2.66,53300,2.66
2012-10-19,2.72,2.78,2.69,2.69,116900,2.69
2012-10-18,2.70,2.74,2.65,2.74,30300,2.74
2012-10-17,2.74,2.74,2.64,2.70,18400,2.70
2012-10-16,2.69,2.75,2.69,2.71,28300,2.71
2012-10-15,2.65,2.68,2.54,2.64,334200,2.64
2012-10-12,2.63,2.71,2.61,2.67,75600,2.67
2012-10-11,2.67,2.67,2.60,2.60,166400,2.60
2012-10-10,2.71,2.71,2.63,2.65,78300,2.65
2012-10-09,2.78,2.78,2.65,2.70,43000,2.70
